Task,Model,Architecture,Score,Parameters
Classification,ExtraTrees (Variant 1),ExtraTrees,0.4887,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': None}"
Classification,ExtraTrees (Variant 2),ExtraTrees,0.4636,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 5, 'model__max_features': 0.6, 'model__max_depth': None}"
Classification,ExtraTrees (Variant 3),ExtraTrees,0.4887,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 4),ExtraTrees,0.4636,"{'model__n_estimators': 600, 'model__min_samples_split': 30, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 5),ExtraTrees,0.4755,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 6),ExtraTrees,0.4755,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 7),ExtraTrees,0.4651,"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 8),ExtraTrees,0.4755,"{'model__n_estimators': 600, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 9),ExtraTrees,0.456,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': None}"
Classification,ExtraTrees (Variant 10),ExtraTrees,0.4768,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 11),ExtraTrees,0.4783,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 12),ExtraTrees,0.4684,"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 13),ExtraTrees,0.4949,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 8}"
Classification,ExtraTrees (Variant 14),ExtraTrees,0.4755,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 15),ExtraTrees,0.4783,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,ExtraTrees (Variant 16),ExtraTrees,0.4783,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': None}"
Classification,ExtraTrees (Variant 17),ExtraTrees,0.4783,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,RandomForest (Variant 0),RandomForest,0.4902,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': None}"
Classification,RandomForest (Variant 1),RandomForest,0.4682,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': None}"
Classification,RandomForest (Variant 2),RandomForest,0.4273,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 5, 'model__max_features': 0.6, 'model__max_depth': None}"
Classification,RandomForest (Variant 3),RandomForest,0.4682,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 8}"
Classification,RandomForest (Variant 4),RandomForest,0.4172,"{'model__n_estimators': 600, 'model__min_samples_split': 30, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,RandomForest (Variant 5),RandomForest,0.4649,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,RandomForest (Variant 6),RandomForest,0.4649,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,RandomForest (Variant 7),RandomForest,0.4902,"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': 6}"
Classification,RandomForest (Variant 8),RandomForest,0.4649,"{'model__n_estimators': 600, 'model__min_samples_split': 30, 'model__min_samples_leaf': 10, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,RandomForest (Variant 9),RandomForest,0.3982,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': None}"
Classification,RandomForest (Variant 10),RandomForest,0.4081,"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,RandomForest (Variant 11),RandomForest,0.4902,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': 8}"
Classification,RandomForest (Variant 12),RandomForest,0.4804,"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 6}"
Classification,RandomForest (Variant 13),RandomForest,0.4804,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 8}"
Classification,RandomForest (Variant 14),RandomForest,0.4514,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,RandomForest (Variant 15),RandomForest,0.4902,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': 6}"
Classification,RandomForest (Variant 16),RandomForest,0.4902,"{'model__n_estimators': 1200, 'model__min_samples_split': 30, 'model__min_samples_leaf': 20, 'model__max_features': 0.6, 'model__max_depth': None}"
Classification,RandomForest (Variant 17),RandomForest,0.4902,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': 8}"
Classification,SMOTE+BalancedBagging (Variant 0),SMOTE+BalancedBagging,0.2966,"{'model__n_estimators': 250, 'model__max_samples': 1.0, 'model__max_features': 0.6}"
Classification,SMOTE+BalancedBagging (Variant 1),SMOTE+BalancedBagging,0.4442,"{'model__n_estimators': 150, 'model__max_samples': 0.8, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 2),SMOTE+BalancedBagging,0.3898,"{'model__n_estimators': 80, 'model__max_samples': 0.6, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 3),SMOTE+BalancedBagging,0.4285,"{'model__n_estimators': 80, 'model__max_samples': 0.8, 'model__max_features': 1.0}"
Classification,SMOTE+BalancedBagging (Variant 4),SMOTE+BalancedBagging,0.291,"{'model__n_estimators': 80, 'model__max_samples': 0.6, 'model__max_features': 0.6}"
Classification,SMOTE+BalancedBagging (Variant 5),SMOTE+BalancedBagging,0.3414,"{'model__n_estimators': 250, 'model__max_samples': 0.6, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 6),SMOTE+BalancedBagging,0.3973,"{'model__n_estimators': 150, 'model__max_samples': 1.0, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 7),SMOTE+BalancedBagging,0.3041,"{'model__n_estimators': 250, 'model__max_samples': 1.0, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 8),SMOTE+BalancedBagging,0.4314,"{'model__n_estimators': 80, 'model__max_samples': 0.8, 'model__max_features': 0.8}"
Classification,SMOTE+BalancedBagging (Variant 9),SMOTE+BalancedBagging,0.4018,"{'model__n_estimators': 80, 'model__max_samples': 1.0, 'model__max_features': 1.0}"
Classification,SMOTE+BalancedBagging (Variant 10),SMOTE+BalancedBagging,0.2891,"{'model__n_estimators': 150, 'model__max_samples': 0.6, 'model__max_features': 0.6}"
Classification,SMOTE+BalancedBagging (Variant 11),SMOTE+BalancedBagging,0.3278,"{'model__n_estimators': 150, 'model__max_samples': 0.8, 'model__max_features': 0.6}"
Classification,LinearSVC (Variant 0),LinearSVC,0.4587,{'model__C': 0.01}
Classification,LinearSVC (Variant 1),LinearSVC,0.4587,{'model__C': 0.03}
Classification,LinearSVC (Variant 2),LinearSVC,0.4587,{'model__C': 0.05}
Classification,LinearSVC (Variant 3),LinearSVC,0.4444,{'model__C': 0.1}
Classification,LinearSVC (Variant 4),LinearSVC,0.4444,{'model__C': 0.3}
Classification,LinearSVC (Variant 5),LinearSVC,0.4554,{'model__C': 1.0}
Classification,LinearSVC (Variant 6),LinearSVC,0.4603,{'model__C': 3.0}
Classification,MLP (Variant 0),MLP,0.4748,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 16, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 1),MLP,0.4013,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 32, 'model__alpha': 0.1, 'model__activation': 'relu'}"
Classification,MLP (Variant 2),MLP,0.4214,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 16, 'model__alpha': 0.1, 'model__activation': 'relu'}"
Classification,MLP (Variant 3),MLP,0.4874,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 32, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 4),MLP,0.4189,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 32, 'model__alpha': 0.1, 'model__activation': 'tanh'}"
Classification,MLP (Variant 5),MLP,0.4202,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 64, 'model__alpha': 0.1, 'model__activation': 'tanh'}"
Classification,MLP (Variant 6),MLP,0.3247,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 64, 'model__alpha': 0.5, 'model__activation': 'relu'}"
Classification,MLP (Variant 7),MLP,0.3503,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 32, 'model__alpha': 1.0, 'model__activation': 'relu'}"
Classification,MLP (Variant 8),MLP,0.481,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 16, 'model__alpha': 1.0, 'model__activation': 'tanh'}"
Classification,MLP (Variant 9),MLP,0.4346,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 32, 'model__alpha': 0.1, 'model__activation': 'relu'}"
Classification,MLP (Variant 10),MLP,0.4844,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 32, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 11),MLP,0.4202,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 32, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 12),MLP,0.4841,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 16, 'model__alpha': 0.1, 'model__activation': 'relu'}"
Classification,MLP (Variant 13),MLP,0.4189,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 32, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 14),MLP,0.5063,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 16, 'model__alpha': 0.5, 'model__activation': 'relu'}"
Classification,MLP (Variant 15),MLP,0.4842,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 64, 'model__alpha': 0.1, 'model__activation': 'tanh'}"
Classification,MLP (Variant 16),MLP,0.4958,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 16, 'model__alpha': 0.1, 'model__activation': 'tanh'}"
Classification,MLP (Variant 17),MLP,0.453,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 16, 'model__alpha': 0.5, 'model__activation': 'tanh'}"
Classification,MLP (Variant 18),MLP,0.4844,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (12, 6), 'model__batch_size': 64, 'model__alpha': 1.0, 'model__activation': 'tanh'}"
Classification,MLP (Variant 19),MLP,0.5407,"{'model__learning_rate_init': 0.0003, 'model__hidden_layer_sizes': (16,), 'model__batch_size': 32, 'model__alpha': 1.0, 'model__activation': 'relu'}"
Classification,XGBoost (Variant 0),XGBoost,0.4093,"{'model__subsample': 0.8, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__gamma': 1.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 1),XGBoost,0.3882,"{'model__subsample': 0.65, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 15, 'model__max_depth': 2, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.65}"
Classification,XGBoost (Variant 2),XGBoost,0.4067,"{'model__subsample': 0.95, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 25, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 0.0, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 3),XGBoost,0.4611,"{'model__subsample': 0.8, 'model__reg_lambda': 50.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.02, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}"
Classification,XGBoost (Variant 4),XGBoost,0.4574,"{'model__subsample': 0.8, 'model__reg_lambda': 50.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__gamma': 1.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 5),XGBoost,0.4042,"{'model__subsample': 0.95, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 6),XGBoost,0.4382,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 15, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__gamma': 1.0, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 7),XGBoost,0.4123,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 25, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 1.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 8),XGBoost,0.3798,"{'model__subsample': 0.8, 'model__reg_lambda': 20.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 25, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__gamma': 0.2, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 9),XGBoost,0.4507,"{'model__subsample': 0.95, 'model__reg_lambda': 5.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__gamma': 0.0, 'model__colsample_bytree': 0.65}"
Classification,XGBoost (Variant 10),XGBoost,0.4509,"{'model__subsample': 0.65, 'model__reg_lambda': 20.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 25, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}"
Classification,XGBoost (Variant 11),XGBoost,0.4507,"{'model__subsample': 0.95, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__gamma': 0.5, 'model__colsample_bytree': 0.65}"
Classification,XGBoost (Variant 12),XGBoost,0.3903,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__gamma': 0.2, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 13),XGBoost,0.3699,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__gamma': 0.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 14),XGBoost,0.441,"{'model__subsample': 0.65, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 10, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.65}"
Classification,XGBoost (Variant 15),XGBoost,0.454,"{'model__subsample': 0.95, 'model__reg_lambda': 5.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 25, 'model__max_depth': 2, 'model__learning_rate': 0.02, 'model__gamma': 1.0, 'model__colsample_bytree': 0.8}"
Classification,XGBoost (Variant 16),XGBoost,0.4558,"{'model__subsample': 0.95, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 15, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 17),XGBoost,0.4453,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 0.0, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 18),XGBoost,0.4016,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.02, 'model__gamma': 1.0, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 19),XGBoost,0.3979,"{'model__subsample': 0.65, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 3, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__gamma': 0.0, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 20),XGBoost,0.4447,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__min_child_weight': 15, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.2, 'model__colsample_bytree': 0.5}"
Classification,XGBoost (Variant 21),XGBoost,0.4271,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}"
Classification,XGBoost (Variant 22),XGBoost,0.4558,"{'model__subsample': 0.95, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 15, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}"
Classification,XGBoost (Variant 23),XGBoost,0.3882,"{'model__subsample': 0.65, 'model__reg_lambda': 5.0, 'model__reg_alpha': 1.0, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.0, 'model__colsample_bytree': 0.65}"
Classification,XGBoost (Variant 24),XGBoost,0.4403,"{'model__subsample': 0.8, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__min_child_weight': 3, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.95}"
Classification,XGBoost (Variant 25),XGBoost,0.4123,"{'model__subsample': 0.95, 'model__reg_lambda': 50.0, 'model__reg_alpha': 0.1, 'model__min_child_weight': 25, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.2, 'model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(HistGB) (Variant 0),Reg2Tertile(HistGB),0.4764,"{'reg_pipeline__model__min_samples_leaf': 10, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 1),Reg2Tertile(HistGB),0.3801,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.3}"
Classification,Reg2Tertile(HistGB) (Variant 2),Reg2Tertile(HistGB),0.3468,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.01}"
Classification,Reg2Tertile(HistGB) (Variant 3),Reg2Tertile(HistGB),0.3218,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 4),Reg2Tertile(HistGB),0.1743,"{'reg_pipeline__model__min_samples_leaf': 60, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.0}"
